"","country","pop","continent","lifeExp","gdpPercap"
"1","Afghanistan",22227415,"Asia",41.763,635.341351
"2","Albania",3428038,"Europe",72.95,3193.054604
"3","Algeria",29072015,"Africa",69.152,4797.295051
"4","Angola",9875024,"Africa",40.963,2277.140884
"5","Argentina",36203463,"Americas",73.275,10967.28195
"6","Australia",18565243,"Oceania",78.83,26997.93657
"7","Austria",8069876,"Europe",77.51,29095.92066
"8","Bahrain",598561,"Asia",73.925,20292.01679
"9","Bangladesh",123315288,"Asia",59.412,972.7700352
"10","Belgium",10199787,"Europe",77.53,27561.19663
"11","Benin",6066080,"Africa",54.777,1232.975292
"12","Bolivia",7693188,"Americas",62.05,3326.143191
"13","Bosnia and Herzegovina",3607000,"Europe",73.244,4766.355904
"14","Botswana",1536536,"Africa",52.556,8647.142313
"15","Brazil",168546719,"Americas",69.388,7957.980824
"16","Bulgaria",8066057,"Europe",70.32,5970.38876
"17","Burkina Faso",10352843,"Africa",50.324,946.2949618
"18","Burundi",6121610,"Africa",45.326,463.1151478
"19","Cambodia",11782962,"Asia",56.534,734.28517
"20","Cameroon",14195809,"Africa",52.199,1694.337469
"21","Canada",30305843,"Americas",78.61,28954.92589
"22","Central African Republic",3696513,"Africa",46.066,740.5063317
"23","Chad",7562011,"Africa",51.573,1004.961353
"24","Chile",14599929,"Americas",75.816,10118.05318
"25","China",1230075000,"Asia",70.426,2289.234136
"26","Colombia",37657830,"Americas",70.313,6117.361746
"27","Comoros",527982,"Africa",60.66,1173.618235
"28","Congo Dem. Rep.",47798986,"Africa",42.587,312.188423
"29","Congo Rep.",2800947,"Africa",52.962,3484.164376
"30","Costa Rica",3518107,"Americas",77.26,6677.045314
"31","Cote d'Ivoire",14625967,"Africa",47.991,1786.265407
"32","Croatia",4444595,"Europe",73.68,9875.604515
"33","Cuba",10983007,"Americas",76.151,5431.990415
"34","Czech Republic",10300707,"Europe",74.01,16048.51424
"35","Denmark",5283663,"Europe",76.11,29804.34567
"36","Djibouti",417908,"Africa",53.157,1895.016984
"37","Dominican Republic",7992357,"Americas",69.957,3614.101285
"38","Ecuador",11911819,"Americas",72.312,7429.455877
"39","Egypt",66134291,"Africa",67.217,4173.181797
"40","El Salvador",5783439,"Americas",69.535,5154.825496
"41","Equatorial Guinea",439971,"Africa",48.245,2814.480755
"42","Eritrea",4058319,"Africa",53.378,913.47079
"43","Ethiopia",59861301,"Africa",49.402,515.8894013
"44","Finland",5134406,"Europe",77.13,23723.9502
"45","France",58623428,"Europe",78.64,25889.78487
"46","Gabon",1126189,"Africa",60.461,14722.84188
"47","Gambia",1235767,"Africa",55.861,653.7301704
"48","Germany",82011073,"Europe",77.34,27788.88416
"49","Ghana",18418288,"Africa",58.556,1005.245812
"50","Greece",10502372,"Europe",77.869,18747.69814
"51","Guatemala",9803875,"Americas",66.322,4684.313807
"52","Guinea",8048834,"Africa",51.455,869.4497668
"53","Guinea-Bissau",1193708,"Africa",44.873,796.6644681
"54","Haiti",6913545,"Americas",56.671,1341.726931
"55","Honduras",5867957,"Americas",67.659,3160.454906
"56","Hong Kong China",6495918,"Asia",80,28377.63219
"57","Hungary",10244684,"Europe",71.04,11712.7768
"58","Iceland",271192,"Europe",78.95,28061.09966
